,gemnr,volgnr,gemnaam,provnr,bjaar,ejaar,adam_code,adam_naam,adam_begin,adam_eind,cbs66,cbs,nidi,wag_code,regio,egg,corop,euclidmidx,euclidmidy,opmerking,cbs66HED,gemnaam_unique,gemnaam_Genlias,adam_sd,adam_sm,adam_sy,adam_ed,adam_em,adam_ey,studsec_1909,train_1909,popul_1909,minecorop,protestant_dummy,Christelijk.Ge_1909,Doopsgezinden_1909,Evangelisch.Lu_1909,Hersteld.Evang,Kerkelijke.gez,NederlandsHer,Nederlands.Isr,Oud.Katholieke,Overige.kerkel,Remonstranten,RoomsKatholie,Waals.Hervormd,Portugees.Isra,Gereformeerde,Geen.kerkelijk,Prot_both,Prot_all,nons,sumrel,sumall,norel,hhi,comp,inchurch,pr1,pr2,pr3,pr4,pr5,pr6,pr7,pr8,pr9,pr10,pr11,pr12,pr13,pr14,pr15,hhi_2
1,1802,1,Aalten,5,1812,1942,11046,Aalten,oudsher,heden,197,197,5001,5074,Achterhoek,30,14,23643,43767, ,197,Aalten,Aalten,NA,NA,0,NA,NA,2007,0,1,8876,Achterhoek,yes,0,18,0,0,0,4002,73,0,29,8,0,1,0,0,218,4002,4028,218,4131,4349,5.012646585,0.938904883,0.061095117,0.949873534,0,0.004357298,0,0,0,0.968772694,0.017671266,0,0.007020092,0.001936577,0,0.000242072,0,0,0.052771726,0.938905
2,1806,1,Doetinchem Ambt,5,1818,1919,10396,Ambt Doetinchem,1-1-1818,01.01.1920,1010,NA,5028,5071,Achterhoek,27,NA,21900,44144, ,1010,Doetinchem Ambt,Doetinchem Ambt,1,1,1818,1,1,1919,0,1,5647,Achterhoek,yes,2,7,1,4,0,3139,6,0,71,2,1604,0,0,55,55,3194,3210,55,4891,4946,1.112009705,0.519788264,0.480211736,0.988879903,0.000408914,0.0014312,0.000204457,0.000817829,0,0.641791045,0.001226743,0,0.014516459,0.000408914,0.327949295,0,0,0.011245144,0.011245144,0.519788
3,1818,1,Beltrum,5,1812,1819,10251,Beltrum,oudsher,13-4-1819,NA,NA,5921,NA,Achterhoek,NA,NA,0,0, ,9912,Beltrum,Beltrum,NA,NA,0,13,4,1819,NA,NA,NA,Achterhoek,yes,1,0,0,0,1,0,0,0,0,0,4933,0,0,1,0,1,3,0,4936,4936,0,0.998784933,0.001215067,1,0.000202593,0,0,0,0.000202593,0,0,0,0,0,0.99939222,0,0,0.000202593,0,0.998785
4,1825,1,Borculo,5,1811,1942,11307,Borculo,oudsher,01.01.2005,211,211,5015,5087,Achterhoek,28,14,23343,46081, ,211,Borculo,Borculo,NA,NA,0,1,1,2004,41,1,4457,Achterhoek,yes,4,8,0,0,0,3688,139,0,0,6,8,0,0,86,15,3774,3792,15,3939,3954,0.379362671,0.878350481,0.121649519,0.996206373,0.001015486,0.002030972,0,0,0,0.936278243,0.035288144,0,0,0.001523229,0.002030972,0,0,0.021832953,0.003808073,0.87835
5,1827,1,Bredevoort,5,1811,1818,11295,Bredevoort,oudsher,1-1-1818,NA,NA,5948,NA,Achterhoek,NA,NA,0,0, ,9914,Bredevoort,Bredevoort,NA,NA,0,1,1,1817,NA,NA,NA,Achterhoek,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1829,1,Brummen,5,1811,1942,10798,Brummen,oudsher,heden,213,213,5019,5092,Zutphen-Rheden,34,14,20458,45831,BRUMMEN EN HALL,213,Brummen,Brummen,NA,NA,0,NA,NA,2007,0,1,7642,Achterhoek,yes,41,17,3,5,0,6802,20,2,12,5,126,7,0,44,30,6846,6917,30,7084,7114,0.421703683,0.922375911,0.077624089,0.995782963,0.005787691,0.002399774,0.00042349,0.000705816,0,0.960191982,0.002823264,0.000282326,0.001693958,0.000705816,0.017786561,0.000988142,0,0.00621118,0.004234896,0.922376
7,1837,1,Dinxperlo,5,1811,1942,11154,Dinxperlo,oudsher,01.01.2005,219,219,5025,5073,Achterhoek,29,14,23132,43322, ,219,Dinxperlo,Dinxperlo,NA,NA,0,1,1,2004,35,1,2965,Achterhoek,yes,10,1,0,0,0,2093,65,0,26,1,44,0,0,43,29,2136,2148,29,2283,2312,1.25432526,0.842164629,0.157835371,0.987456747,0.004380201,0.00043802,0,0,0,0.916776172,0.02847131,0,0.011388524,0.00043802,0.019272887,0,0,0.018834866,0.012702584,0.842165
8,1840,1,Doetinchem,5,1920,1942,10396,Doetinchem,01.01.1920,heden,222,222,5030,5071,Achterhoek,27,14,21900,44144, ,222,Doetinchem,Doetinchem,1,1,1920,NA,NA,2007,175.5,1,NA,Achterhoek,yes,11,0,0,0,0,0,0,0,0,0,2,0,0,760,0,760,771,0,773,773,0,0.966856839,0.033143161,1,0.014230272,0,0,0,0,0,0,0,0,0,0.002587322,0,0,0.983182406,0,0.966857
9,1843,1,Dorth,5,1818,1831,10061,Dorth,1-1-1818,1-7-1831,1313,NA,5926,5117,Zutphen-Rheden,28,NA,21952,47107, ,1313,Dorth,Dorth,1,1,1818,1,7,1831,NA,NA,NA,Achterhoek,yes,0,0,0,0,0,0,0,0,0,0,2085,0,0,0,0,0,0,0,2085,2085,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,1851,1,Eibergen,5,1811,1942,10436,Eibergen,oudsher,01.01.2005,229,229,5037,5084,Achterhoek,30,14,24056,45432,1819 + BELTRUM,229,Eibergen,Eibergen,NA,NA,0,1,1,2004,45,1,5633,Achterhoek,yes,55,2,6,0,0,2833,50,0,4,5,6,1,0,331,29,3164,3232,29,3293,3322,0.872968092,0.750756765,0.249243235,0.991270319,0.016702095,0.000607349,0.001822047,0,0,0.860309748,0.015183723,0,0.001214698,0.001518372,0.001822047,0.000303674,0,0.100516247,0.008806559,0.750757
11,1858,1,Etten,5,1812,1817,10107,Etten [Ge],oudsher,1-1-1818,NA,NA,5901,NA,Achterhoek,NA,NA,0,0, ,9919,Etten,Etten,NA,NA,0,1,1,1817,NA,NA,NA,Achterhoek,yes,0,0,0,0,0,0,0,0,0,0,2198,0,0,0,0,0,0,0,2198,2198,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
12,1862,1,Geesteren,5,1812,1817,10756,Geesteren,oudsher,1-1-1818,NA,NA,5903,NA,Achterhoek,NA,NA,0,0, ,9921,Geesteren,Geesteren,NA,NA,0,1,1,1817,NA,NA,NA,Achterhoek,yes,26,0,5,0,0,0,0,0,0,0,15,0,0,218,0,218,249,0,264,264,0,0.695161846,0.304838154,1,0.098484848,0,0.018939394,0,0,0,0,0,0,0,0.056818182,0,0,0.825757576,0,0.695162
13,1864,1,Gendringen,5,1811,1942,10260,Gendringen,oudsher,01.01.2005,237,237,5047,5072,Achterhoek,29,14,22387,43296, ,237,Gendringen,Gendringen,NA,NA,0,1,1,2004,0,0,7926,Achterhoek,yes,0,1,0,0,0,1665,46,0,1,3,2773,0,0,17,72,1682,1686,72,4506,4578,1.572739187,0.515373889,0.484626111,0.984272608,0,0.000221926,0,0,0,0.369507324,0.010208611,0,0.000221926,0.000665779,0.615401687,0,0,0.003772747,0.015978695,0.515374
14,1866,1,Gorssel,5,1811,1942,10085,Gorssel,oudsher,01.01.2005,239,239,5049,5090,Zutphen-Rheden,28,14,21369,46716, ,239,Gorssel,Gorssel,NA,NA,0,1,1,2004,0,1,5709,Achterhoek,yes,1,13,5,0,0,5095,0,0,9,13,2339,6,0,7,67,5102,5134,67,7488,7555,0.886829914,0.560556363,0.439443637,0.991131701,0.000133547,0.001736111,0.000667735,0,0,0.680422009,0,0,0.001201923,0.001736111,0.312366453,0.000801282,0,0.000934829,0.00894765,0.560556
15,1867,1,Groenlo,5,1811,1942,11094,Groenlo,oudsher,20.05.2006,240,240,5050,5085,Achterhoek,30,14,23938,45111, ,240,Groenlo,Groenlo,NA,NA,0,20,5,2006,25,1,2944,Achterhoek,yes,30,0,24,0,1,487,97,0,0,3,6336,0,0,18,5,505,563,5,6996,7001,0.071418369,0.82529566,0.17470434,0.999285816,0.004288165,0,0.003430532,0,0.000142939,0.069611206,0.013865066,0,0,0.000428816,0.905660377,0,0,0.002572899,0.000714694,0.825296
16,1876,1,Hengelo (GL),5,1811,1942,10359,Hengelo [Ge],oudsher,01.01.2005,248,248,5058,5079,Achterhoek,28,14,22048,45167, ,248,Hengelo (GL),Hengelo (GL),NA,NA,0,1,1,2004,0,0,3889,Achterhoek,yes,0,0,0,0,0,2469,40,0,5,0,0,1,2,0,6,2469,2469,6,2517,2523,0.237812128,0.962479691,0.037520309,0.997621879,0,0,0,0,0,0.980929678,0.015891935,0,0.001986492,0,0,0.000397298,0.000794597,0,0.00238379,0.96248
17,1886,1,Hummelo,5,1811,1817,11235,Hummelo,oudsher,1-1-1818,NA,NA,5906,NA,Achterhoek,NA,NA,21229,44682,HUMMELO + RICHTERAMBT VAN DOETINCHEM,9924,Hummelo,Hummelo,NA,NA,0,1,1,1817,50,NA,NA,Achterhoek,yes,28,0,2,0,0,0,0,0,0,0,550,0,0,28,0,28,58,0,608,608,0,0.822563193,0.177436807,1,0.046052632,0,0.003289474,0,0,0,0,0,0,0,0.904605263,0,0,0.046052632,0,0.822563
18,1887,1,Hummelo en Keppel,5,1818,1942,11235,Hummelo en Keppel,1-1-1818,01.01.2005,256,256,5066,5070,Achterhoek,27,14,21229,44682, ,256,Hummelo en Keppel,Hummelo en Keppel,1,1,1818,1,1,2004,47,0,3096,Achterhoek,yes,5,4,0,0,0,2444,6,0,14,5,227,4,0,0,11,2444,2458,11,2709,2720,0.404411765,0.820989358,0.179010642,0.995955882,0.0018457,0.00147656,0,0,0,0.902177925,0.002214839,0,0.005167959,0.0018457,0.083794758,0.00147656,0,0,0.004060539,0.820989
19,1890,1,Keppel,5,1811,1817,10488,Keppel,oudsher,1-1-1818,NA,NA,5951,NA,Achterhoek,NA,NA,0,0, ,9925,Keppel,Keppel,NA,NA,0,1,1,1817,NA,NA,NA,Achterhoek,yes,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,20,20,0,21,21,0,0.909297052,0.090702948,1,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0.952380952,0,0.909297
20,1893,1,Laren (GL),5,1811,1942,10098,Laren [Ge],oudsher,01.08.1971,259,259,5073,5088,Zutphen-Rheden,28,14,22485,46483, ,259,Laren (GL),Laren (GL),NA,NA,0,1,8,1971,0,1,4156,Achterhoek,yes,0,3,0,0,0,3900,0,0,1,38,0,0,0,0,20,3900,3941,20,3942,3962,0.504795558,0.978898107,0.021101893,0.994952044,0,0.000761035,0,0,0,0.98934551,0,0,0.000253678,0.009639777,0,0,0,0,0.005073567,0.978898
21,1897,1,Lichtenvoorde,5,1811,1942,10242,Lichtenvoorde,oudsher,01.01.2005,260,260,5071,5076,Achterhoek,30,14,23571,44643, ,260,Lichtenvoorde,Lichtenvoorde,NA,NA,0,1,1,2004,31,1,4626,Achterhoek,yes,18,3,1,0,0,525,0,0,0,1,21,0,0,44,2,569,592,2,613,615,0.325203252,0.740713044,0.259286956,0.996747967,0.029363785,0.004893964,0.001631321,0,0,0.856443719,0,0,0,0.001631321,0.034257749,0,0,0.07177814,0.003262643,0.740713
22,1902,1,Lochem,5,1811,1942,11263,Lochem,oudsher,heden,262,262,5074,5089,Zutphen-Rheden,28,14,22555,46358, ,262,Lochem,Lochem,NA,NA,0,NA,NA,2007,48,1,4730,Achterhoek,yes,0,44,0,6,0,3479,149,0,10,324,0,7,0,0,166,3479,3853,166,4019,4185,3.966547192,0.757334423,0.242665577,0.960334528,0,0.010947997,0,0.001492909,0,0.865638218,0.037073899,0,0.002488181,0.080617069,0,0.001741727,0,0,0.041303807,0.757334
23,1912,1,Neede,5,1811,1942,10367,Neede,oudsher,01.01.2005,266,266,5078,5086,Achterhoek,30,14,23855,46296, ,266,Neede,Neede,NA,NA,0,1,1,2004,34,1,3985,Achterhoek,yes,0,6,0,3,0,3214,17,0,0,4,0,0,0,0,21,3214,3227,21,3244,3265,0.643185299,0.981623097,0.018376903,0.993568147,0,0.001849568,0,0.000924784,0,0.990752158,0.005240444,0,0,0.001233046,0,0,0,0,0.00647349,0.981623
24,1940,1,Ruurlo,5,1811,1942,10879,Ruurlo,oudsher,01.01.2005,278,278,5094,5083,Achterhoek,28,14,22898,45235, ,278,Ruurlo,Ruurlo,NA,NA,0,1,1,2004,24,1,2893,Achterhoek,yes,1,0,1,0,0,2294,1,0,0,2,10,1,13,158,2,2452,2456,2,2481,2483,0.080547725,0.859008594,0.140991406,0.999194523,0.000403063,0,0.000403063,0,0,0.924627166,0.000403063,0,0,0.000806127,0.004030633,0.000403063,0.005239823,0.063683998,0.000806127,0.859036
25,1942,1,Doetinchem Stad,5,1811,1919,10603,Stad Doetinchem,oudsher,01.01.1920,1190,NA,5029,5115,Achterhoek,27,NA,21681,44137, ,1190,Doetinchem Stad,Doetinchem Stad,NA,NA,0,1,1,1919,97.40000153,0,4418,Achterhoek,yes,47,29,1,1,0,2959,166,0,17,15,1445,3,0,5,77,2964,3057,77,4688,4765,1.615949633,0.494821485,0.505178515,0.983840504,0.010025597,0.006186007,0.000213311,0.000213311,0,0.631186007,0.035409556,0,0.00362628,0.003199659,0.308233788,0.000639932,0,0.001066553,0.016424915,0.494821
26,1943,1,Steenderen,5,1811,1942,10497,Steenderen,oudsher,01.01.2005,280,280,5096,5080,Achterhoek,28,14,21027,45260,#èNOMBRE?,280,Steenderen,Steenderen,NA,NA,0,1,1,2004,23,0,3456,Achterhoek,yes,0,1,0,0,0,1933,20,0,3,0,0,0,0,0,1,1933,1934,1,1957,1958,0.051072523,0.975730114,0.024269886,0.999489275,0,0.000510986,0,0,0,0.987736331,0.010219724,0,0.001532959,0,0,0,0,0,0.000510986,0.97573
27,1944,1,Terborg,5,1811,1817,10034,Terborg,oudsher,1-1-1818,NA,NA,5939,NA,Achterhoek,NA,NA,0,0,TERBORG + LICHTENBERG EN SILVOLDE,9944,Terborg,Terborg,NA,NA,0,1,1,1817,79,NA,NA,Achterhoek,yes,80,0,210,0,1,0,0,0,0,0,3389,0,0,221,0,221,512,0,3901,3901,0,0.761257359,0.238742641,1,0.020507562,0,0.053832351,0,0.000256345,0,0,0,0,0,0.868751602,0,0,0.05665214,0,0.761257
28,1951,1,Varsseveld,5,1813,1817,10318,Varsseveld,oudsher,1-1-1818,NA,NA,5942,NA,Achterhoek,NA,NA,22592,43825, ,9947,Varsseveld,Varsseveld,NA,NA,0,1,1,1817,80,1,NA,Achterhoek,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1954,1,Verwolde,5,1818,1854,10275,Verwolde,1-1-1818,22-5-1854,1386,NA,5945,5121,Zutphen-Rheden,28,NA,22487,46980, ,1386,Verwolde,Verwolde,1,1,1818,22,5,1854,NA,NA,NA,Achterhoek,yes,189,0,16,0,0,0,0,0,0,0,2434,0,0,297,0,297,502,0,2936,2936,0,0.701679192,0.298320808,1,0.064373297,0,0.005449591,0,0,0,0,0,0,0,0.829019074,0,0,0.101158038,0,0.701679
30,1957,1,Vorden,5,1811,1942,10957,Vorden,oudsher,01.01.2005,286,286,5104,5082,Zutphen-Rheden,28,14,22051,45739, ,286,Vorden,Vorden,NA,NA,0,1,1,2004,22,1,3319,Achterhoek,yes,0,8,1,0,0,2575,8,0,1,4,15,0,0,124,7,2699,2712,7,2736,2743,0.255195042,0.887876291,0.112123709,0.99744805,0,0.002923977,0.000365497,0,0,0.941154971,0.002923977,0,0.000365497,0.001461988,0.005482456,0,0,0.045321637,0.00255848,0.887876
31,1963,1,Warnsveld,5,1811,1942,10838,Warnsveld,oudsher,01.01.2005,291,291,5109,5081,Zutphen-Rheden,28,14,21462,45846, ,291,Warnsveld,Warnsveld,NA,NA,0,1,1,2004,0,0,3434,Achterhoek,yes,0,15,4,1,0,2703,27,0,14,3,2272,2,0,0,23,2703,2726,23,5041,5064,0.454186414,0.490694535,0.509305465,0.995458136,0,0.0029756,0.000793493,0.000198373,0,0.536203134,0.00535608,0,0.002777227,0.00059512,0.450704225,0.000396747,0,0,0.004562587,0.490695
32,1964,1,Wehl,5,1814,1942,11116,Wehl,17-12-1813,01.01.2005,292,292,5110,5068,Zutphen-Rheden,26,14,21104,44134,"1811 deel ZEDDAM, 1814-1816 PRUISEN, 1816 AFGESTAAN AAN NEDERLANDEN en dan zelfstandige GEMEENTE",292,Wehl,Wehl,17,12,1813,1,1,2004,30,1,2527,Achterhoek,yes,0,0,0,0,0,243,8,0,0,0,0,0,0,0,0,243,243,0,251,251,0,0.938286694,0.061713306,1,0,0,0,0,0,0.96812749,0.03187251,0,0,0,0,0,0,0,0,0.938287
33,1971,1,Winterswijk,5,1811,1942,11119,Winterswijk,oudsher,heden,294,294,5112,5075,Achterhoek,30,14,24742,44288, ,294,Winterswijk,Winterswijk,NA,NA,0,NA,NA,2007,231,1,13352,Achterhoek,yes,41,47,15,4,0,10338,205,2,25,13,2570,7,0,441,274,10779,10899,274,13708,13982,1.959662423,0.605189045,0.394810955,0.980403376,0.002990954,0.003428655,0.001094252,0.0002918,0,0.754158156,0.014954771,0.0001459,0.001823753,0.000948351,0.187481762,0.000510651,0,0.032170995,0.019988328,0.605189
