latitude (dec.degrees),longitude (dec.degrees),adam_naam,norel,hhi,minecorop
51.547,3.511,Aagtekerke,0,0.439850939,Overig Zeeland
51.753,5.132,Aalburg,0,0.967023155,Midden-Noord-Brabant
NA,NA,Aalst [Ge],0,0.512903093,Zuidwest-Gelderland
51.51,5.638,Aarle-Rixtel,0,0.973204274,Zuidoost-Noord-Brabant
NA,NA,Achttienhoven [Ut],0,0.432687938,Utrecht
51.792,5.379,"Alem, Maren en Kessel",0,0.920968025,Noordoost-Noord-Brabant
NA,NA,Alphen [Ge],0,0.738346626,Zuidwest-Gelderland
51.525,5.024,Alphen en Riel,0,0.985209485,Midden-Noord-Brabant
50.864,5.733,Amby,0,0.982072403,Zuid-Limburg
50.94,5.923,Amstenrade,0,0.974801772,Zuid-Limburg
52.264,5.098,Ankeveen,0,0.435607629,Het Gooi en Vechtstreek
51.832,5.585,Appeltern,0,0.700707005,Zuidwest-Gelderland
51.474,6.18,Arcen en Velden,0,0.981968237,Noord-Limburg
51.226,5.883,Baexem,0,1,Midden-Limburg
51.504,5.741,Bakel en Milheeze,0,1,Zuidoost-Noord-Brabant
51.781,5.714,Balgoij,0,0.640304311,Arnhem/Nijmegen
51.19,5.919,Beegden,0,1,Midden-Limburg
NA,NA,Beek [Li],0,0.956820954,Zuid-Limburg
51.536,5.63,Beek en Donk,0,0.993408735,Zuidoost-Noord-Brabant
52.159,5.967,Beekbergen,0,0.897432245,Veluwe
51.726,5.826,Beers,0,1,Noordoost-Noord-Brabant
51.269,6.042,Beesel,0,0.994949527,Noord-Limburg
51.314,6.119,Belfeld,0,0.998244075,Noord-Limburg
52.067,6.563,Beltrum,0,0.998784933,Achterhoek
50.847,5.764,Bemelen,0,1,Zuid-Limburg
52.002,5.678,Bennekom,0,0.981707054,Veluwe
50.861,5.785,Berg en Terblijt,0,0.992710872,Zuid-Limburg
NA,NA,Bergen [Li],0,0.990762051,Zuid-Limburg
51.32,5.36,Bergeyk,0,0.940398,Zuidoost-Noord-Brabant
51.85,5.667,Bergharen,0,0.856953855,Arnhem/Nijmegen
51.77,5.568,Berghem,0,0.992263173,Noordoost-Noord-Brabant
51.991,4.473,Berkel en Rodenrijs,0,0.359626586,Groot-Rijnmond
51.583,5.141,Berkel-Enschot,0,0.988372491,Midden-Noord-Brabant
51.688,5.05,Besoijen,0,0.479407317,Midden-Noord-Brabant
51.658,5.886,Beugen en Rijkevoort,0,0.98421257,Noordoost-Noord-Brabant
51.867,5.783,Beuningen,0,0.447997702,Arnhem/Nijmegen
51.328,3.686,Biervliet,0,0.509362341,Zeeuwsch-Vlaanderen
50.97,5.938,Bingelrade,0,1,Zuid-Limburg
51.6,5.674,Boekel,0,1,Noordoost-Noord-Brabant
51.737,5.233,Bokhoven,0,1,Noordoost-Noord-Brabant
50.877,5.687,Borgharen,0,0.987503326,Zuid-Limburg
51.298,5.448,Borkel en Schaft,0,0.99652175,Zuidoost-Noord-Brabant
51.032,5.811,Born,0,1,Zuid-Limburg
51.649,5.948,Boxmeer,0,0.933022943,Noordoost-Noord-Brabant
51.889,4.813,Brandwijk,0,0.762854053,Zuidoost-Zuid-Holland
51.483,6.167,Broekhuizen,0,1,Noord-Limburg
51.003,5.895,Broeksittard,0,1,Zuid-Limburg
51.783,5.233,Bruchem,0,0.605335619,Zuidwest-Gelderland
50.946,5.971,Brunssum,0,1,Zuid-Limburg
51.232,5.981,Buggenum,0,1,Midden-Limburg
50.829,5.765,Cadier en Keer,0,1,Zuid-Limburg
51.505,4.861,Chaam,0,0.863325622,Midden-Noord-Brabant
51.267,4.089,Clinge,0,0.989735939,Zeeuwsch-Vlaanderen
51.661,5.229,Cromvoirt,0,0.950788953,Noordoost-Noord-Brabant
51.718,5.89,Cuijk en Sint Agatha,0,0.945117148,Noordoost-Noord-Brabant
51.827,5.009,Dalem,0,0.860415885,Zuidwest-Gelderland
52.67,6.756,Dalen,0,0.725089667,Zuidoost-Drenthe
51.884,5.244,Deil,0,0.602917072,Zuidwest-Gelderland
51.665,5.371,Den Dungen,0,0.997361482,Noordoost-Noord-Brabant
51.941,6.132,Didam,0,0.89916955,Arnhem/Nijmegen
51.82,5.611,"Dieden, Demen en Langel",0,0.981568415,Noordoost-Noord-Brabant
52.048,6.101,Dieren,0,0.600131556,Arnhem/Nijmegen
51.475,5.175,Diessen,0,1,Midden-Noord-Brabant
51.647,5.484,Dinther,0,0.950387369,Noordoost-Noord-Brabant
51.965,6.293,Doetinchem,0,0.966856839,Achterhoek
51.356,5.431,Dommelen,0,1,Zuidoost-Noord-Brabant
52.226,6.279,Dorth,0,1,Achterhoek
51.85,5.433,Dreumel,0,0.836614907,Zuidwest-Gelderland
51.771,5.337,Driel,0,0.822030099,Zuidwest-Gelderland
51.949,6.022,Duiven,0,0.409320353,Arnhem/Nijmegen
51.373,5.326,Duizel en Steensel,0,1,Zuidoost-Noord-Brabant
51.246,3.444,Eede,0,0.97365872,Zeeuwsch-Vlaanderen
52.252,5.259,Eemnes,0,0.484429362,Utrecht
51.958,5.882,Elden,0,0.913727454,Het Gooi en Vechtstreek
51.725,3.844,Elkerzee,0,0.563548332,Overig Zeeland
50.95,5.767,Elsloo,0,0.99875234,Zuid-Limburg
51.872,6.16,Elten,0,0.52537752,Germany now
51.721,5.269,Engelen,0,0.750077585,Noordoost-Noord-Brabant
51.601,5.606,Erp,0,0.993330629,Noordoost-Noord-Brabant
51.612,5.291,Esch,0,1,Noordoost-Noord-Brabant
51.744,5.745,Escharen,0,1,Noordoost-Noord-Brabant
51.841,5.307,Est en Opijnen,0,1,Zuidwest-Gelderland
NA,NA,Etten [Ge],0,1,Achterhoek
51.965,5.155,Everdingen,0,0.606786241,Utrecht
51.741,5.781,Gassel,0,1,Noordoost-Noord-Brabant
52.138,6.527,Geesteren,0,0.695161846,Achterhoek
51.739,5.463,Geffen,0,0.975222472,Noordoost-Noord-Brabant
50.97,5.837,Geleen,0,0.998622116,Zuid-Limburg
51.554,5.689,Gemert,0,0.996863203,Zuidoost-Noord-Brabant
51.876,5.97,Gendt,0,0.334209671,Zuidoost-Noord-Brabant
51.846,4.897,Giessen-Nieuwkerk,0,0.554277031,Zuidoost-Zuid-Holland
51.903,4.894,Goudriaan,0,0.86039205,Zuidoost-Zuid-Holland
51.331,4.104,Graauw en Langendam,0,0.948451586,Zeeuwsch-Vlaanderen
51.192,5.859,Grathem,0,1,Midden-Limburg
51.038,5.773,Grevenbicht,0,0.781137598,Zuid-Limburg
51.534,3.562,Grijpskerke,0,0.571692302,Overig Zeeland
50.81,5.732,Gronsveld,0,1,Zuid-Limburg
51.42,6.146,Grubbenvorst,0,0.997716245,Noord-Limburg
51.816,5.213,Haaften,0,0.401322664,Zuidwest-Gelderland
51.601,5.223,Haaren,0,1,Noordoost-Noord-Brabant
51.236,5.957,Haelen,0,1,Midden-Limburg
51.98,5.122,Hagestein,0,0.495030888,Utrecht
51.69,5.861,Haps,0,1,Noordoost-Noord-Brabant
51.75,5.267,Hedel,0,0.475826798,Zuidwest-Gelderland
51.734,5.186,Hedikhuizen,0,0.945335701,Noordoost-Noord-Brabant
51.177,5.887,Heel en Panheel,0,1,Midden-Limburg
51.65,5.483,Heeswijk,0,1,Noordoost-Noord-Brabant
51.38,5.575,Heeze,0,0.865408093,Zuidoost-Noord-Brabant
51.945,5.081,Hei- en Boeicop,0,0.880910875,Zuidoost-Zuid-Holland
51.827,4.476,Heinenoord,0,0.520715958,Groot-Rijnmond
51.321,5.999,Helden,0,0.997801813,Noord-Limburg
51.63,5.229,Helvoirt,0,0.899208429,Noordoost-Noord-Brabant
51.342,3.994,Hengstdijk,0,0.935410751,Zeeuwsch-Vlaanderen
51.772,5.641,Herpen,0,0.998817268,Noordoost-Noord-Brabant
51.729,5.157,Herpt,0,0.840535681,Noordoost-Noord-Brabant
51.181,5.963,Herten,0,0.986266751,Midden-Limburg
51.903,5.753,Herveld,0,0.991499772,Arnhem/Nijmegen
51.765,5.844,Heumen,0,0.392532699,Arnhem/Nijmegen
52.175,5.458,Hoevelaken,0,0.514658955,Veluwe
51.58,4.584,Hoeven,0,0.990103285,West-Noord-Brabant
51.874,4.975,Hoogblokland,0,0.855978979,Zuidoost-Zuid-Holland
51.397,5.14,Hooge en Lage Mierde,0,0.988077925,Zuidoost-Noord-Brabant
51.429,5.206,"Hoogeloon, Hapert en Casteren",0,0.938443289,Zuidoost-Noord-Brabant
51.864,4.358,Hoogvliet,0,0.605237692,Groot-Rijnmond
51.883,4.944,Hoornaar,0,0.924293295,Zuidoost-Zuid-Holland
51.21,5.95,Horn,0,0.998411439,Midden-Limburg
51.854,5.611,Horssen,0,0.943955581,Arnhem/Nijmegen
51.79,5.678,Huisseling en Neerloon,0,0.97723879,Noordoost-Noord-Brabant
50.89,5.857,Hulsberg,0,0.990904647,Zuid-Limburg
52.004,6.233,Hummelo,0,0.822563193,Achterhoek
NA,NA,Hurwenen [1],0,0.917678344,Zuidwest-Gelderland
51.907,5.533,IJzendoorn,0,1,Zuidwest-Gelderland
50.898,5.701,Itteren,0,1,Zuid-Limburg
51.171,5.82,Ittervoort,0,0.971434573,Midden-Limburg
51.969,4.977,Jaarsveld,0,0.763005464,Utrecht
50.981,5.94,Jabeek,0,1,Zuid-Limburg
52.511,5.928,Kamperveen,0,0.61291897,Noord-Overijssel
51.567,3.885,Kats,0,0.875117247,Overig Zeeland
51.523,3.945,Kattendijke,0,0.759586215,Overig Zeeland
52,6.224,Keppel,0,0.909297052,Achterhoek
51.775,5.221,Kerkwijk,0,0.601486764,Zuidwest-Gelderland
NA,NA,Kessel [Li],0,0.998507464,Noord-Limburg
51.947,4.388,Kethel en Spaland,0,0.475212716,Groot-Rijnmond
50.876,5.883,Klimmen,0,0.986660477,Zuid-Limburg
51.229,3.97,Koewacht,0,0.980071157,Zeeuwsch-Vlaanderen
52.231,5.094,Kortenhoef,0,0.509676612,Het Gooi en Vechtstreek
52.13,4.973,Laag-Nieuwkoop,0,0.401885012,Utrecht
52.042,4.796,Lange Ruige Weide,0,0.45379634,Oost-Zuid-Holland
51.35,5.553,Leende,0,0.995440753,Zuidoost-Noord-Brabant
51.909,5.051,Leerbroek,0,0.877145827,Zuidoost-Zuid-Holland
51.862,5.865,Lent,0,0.975809446,Zuidoost-Noord-Brabant
51.568,5.374,Liempde,0,1,Noordoost-Noord-Brabant
51.42,5.682,Lierop,0,1,Zuidoost-Noord-Brabant
51.521,5.594,Lieshout,0,0.99272737,Zuidoost-Noord-Brabant
51.013,5.838,Limbricht,0,0.985412895,Zuid-Limburg
52.572,4.693,Limmen,0,0.672134364,IJmond
51.749,5.832,Linden,0,1,Noordoost-Noord-Brabant
51.156,5.942,Linne,0,1,Midden-Limburg
51.806,5.439,Lith,0,0.914521769,Noordoost-Noord-Brabant
51.801,5.464,Lithoijen,0,0.925557483,Noordoost-Noord-Brabant
51.862,6.115,Lobith,0,0.395889235,Arnhem/Nijmegen
51.289,5.326,Luyksgestel,0,0.995332581,Zuidoost-Noord-Brabant
51.312,5.616,Maarheeze,0,1,Zuidoost-Noord-Brabant
51.144,5.889,Maasbracht,0,1,Midden-Limburg
51.773,5.314,Maasdriel,0,0.897354467,Zuidwest-Gelderland
51.574,5.997,Maashees en Overloon,0,0.977797026,Noordoost-Noord-Brabant
50.82,5.822,Margraten,0,1,Zuid-Limburg
51.92,4.994,Meerkerk,0,0.754276792,Zuidoost-Zuid-Holland
51.513,6.086,Meerlo,0,0.985774887,Noord-Limburg
51.816,5.565,"Megen, Haren en Macharen",0,1,Noordoost-Noord-Brabant
51.344,5.886,Meijel,0,1,Noord-Limburg
50.954,5.94,Merkelbeek,0,1,Zuid-Limburg
50.763,5.732,Mesch,0,1,Zuid-Limburg
51.441,5.619,Mierlo,0,0.98969454,Zuidoost-Noord-Brabant
51.797,4.487,Mijnsheerenland,0,0.716301794,Groot-Rijnmond
51.682,5.797,Mill en Sint Hubert,0,0.995864929,Noordoost-Noord-Brabant
51.867,6.05,Millingen,0,0.998202158,Arnhem/Nijmegen
51.863,6.048,Millingen aan de Rijn,0,0.397355372,Arnhem/Nijmegen
51.545,5.183,Moergestel,0,0.997266829,Midden-Noord-Brabant
51.126,5.949,Montfort,0,1,Midden-Limburg
50.975,5.865,Munstergeleen,0,0.9923568,Zuid-Limburg
51.764,5.163,Nederhemert,0,0.461778289,Zuidwest-Gelderland
51.286,5.748,Nederweert,0,0.99893918,Midden-Limburg
51.261,5.989,Neer,0,1,Midden-Limburg
51.164,5.805,Neeritter,0,0.975907198,Midden-Limburg
52.693,5.059,Nibbixwoud,0,0.516184834,Kopvan Noord-Holland
51.691,5.179,Nieuwkuyk,0,0.995827556,Noordoost-Noord-Brabant
51.037,5.861,Nieuwstadt,0,0.993071677,Zuid-Limburg
51.589,4.218,Nieuw-Vossemeer,0,0.850823982,West-Noord-Brabant
52.292,6.062,Nijbroek,0,0.691880123,Veluwe
